순번,업종명,업소명,지번주소,도로명주소,행정동명,전화번호,데이터기준일자
118,제과점영업,하레베이킹,대전광역시 서구 도안동 1673 ,"대전광역시 서구 도안동로31번길 12-17, 1층 (도안동)",도안동, 042- 544-1596,2024-10-25
119,제과점영업,파리바게뜨 대전월평,대전광역시 서구 월평동 265 ,"대전광역시 서구 청사서로 46, 1층 일부호 (월평동)",월평2동,,2024-10-25
120,제과점영업,뚜레쥬르 대전을지대병원점,대전광역시 서구 둔산동 1306 을지대학병원 ,"대전광역시 서구 둔산서로 95, 을지대학병원 지하1층 일부호 (둔산동)",둔산2동,,2024-10-25
121,제과점영업,햐로,대전광역시 서구 도안동 1471 한결빌딩 ,"대전광역시 서구 도안중로305번안길 8, 한결빌딩 1층 일부호 (도안동)",도안동,,2024-10-25
122,제과점영업,크리밋(Creamit),대전광역시 서구 갈마동 395-17 ,"대전광역시 서구 갈마로85번길 31, 1층 일부호 (갈마동)",갈마2동,,2024-10-25
123,제과점영업,베이커리카페 가루밀,대전광역시 서구 둔산동 1408-1 시청역 ,"대전광역시 서구 둔산중로 지하 55, 시청역 지하1층 111-2호 (둔산동)",둔산1동,,2024-10-25
124,제과점영업,설기담은,대전광역시 서구 관저동 1558-10 ,"대전광역시 서구 관저남로25번길 23-82, 1층 일부호 (관저동)",관저2동,,2024-10-25
125,제과점영업,하레하레 건양대병원점,대전광역시 서구 관저동 1643 건양대학교병원 ,"대전광역시 서구 관저동로 158, 건양대학교병원 병원증축동 지하1층 일부호 (관저동)",관저1동, 042- 544-1596,2024-10-25
126,제과점영업,오픈오븐(Open oven),대전광역시 서구 갈마동 844 ,"대전광역시 서구 갈마역로25번길 7, 1층 일부호 (갈마동)",갈마1동,,2024-10-25
127,제과점영업,만년빵집,대전광역시 서구 만년동 224 ,"대전광역시 서구 만년로18번길 9, 1층 일부호 (만년동)",만년동,,2024-10-25
128,제과점영업,이너프(Enough),대전광역시 서구 갈마동 306-18 ,"대전광역시 서구 계룡로354번길 43, 1층 (갈마동)",갈마1동,,2024-10-25
129,제과점영업,룸넘버201,대전광역시 서구 갈마동 769 ,"대전광역시 서구 계룡로367번길 95, 1층 일부호 (갈마동)",갈마1동,,2024-10-25
130,제과점영업,나무상자,대전광역시 서구 갈마동 309-2 ,"대전광역시 서구 계룡로394번길 14-18, 1층 (갈마동)",갈마1동,,2024-10-25
131,제과점영업,달콤하나,대전광역시 서구 괴정동 123-3 ,"대전광역시 서구 괴정로16번길 15, 1층 (괴정동)",괴정동,,2024-10-25
132,제과점영업,워니데이 케이크,대전광역시 서구 용문동 281-10 ,"대전광역시 서구 괴정로189번길 45, 1층 일부호 (용문동)",용문동,,2024-10-25
133,제과점영업,원주율,대전광역시 서구 탄방동 65-7 ,"대전광역시 서구 도솔로 461, 1층 (탄방동)",탄방동,,2024-10-25
134,제과점영업,주식회사러브하니,대전광역시 서구 용문동 244-60 ,"대전광역시 서구 계룡로 663-9, 1층 일부호 (용문동)",용문동,,2024-10-25
135,제과점영업,몬도브라운,대전광역시 서구 둔산동 1914 ,"대전광역시 서구 둔산남로175번길 27, 1층 일부호 (둔산동)",둔산2동,,2024-10-25
136,제과점영업,케이크퍼즐,대전광역시 서구 갈마동 264-3 무궁화빌라 ,"대전광역시 서구 계룡로367번길 36, 가동 1층 101(일부)호 (갈마동, 무궁화빌라)",갈마1동,,2024-10-25
137,제과점영업,나비한스푼,대전광역시 서구 둔산동 2036 ,"대전광역시 서구 둔산남로203번길 15, 1층 일부호 (둔산동)",둔산3동,,2024-10-25
138,제과점영업,달방구커피(moonbanggu),대전광역시 서구 갈마동 404-1 ,"대전광역시 서구 갈마로117번길 35, 1층 일부호 (갈마동)",갈마2동,,2024-10-25
139,제과점영업,홈플러스 익스프레스 탄방점 몽블랑제,대전광역시 서구 탄방동 732 그랑수아빌딩 ,"대전광역시 서구 문예로 15, 그랑수아빌딩 1층 일부호 (탄방동)",탄방동, 023-4598-009,2024-10-25
140,제과점영업,리리컬,대전광역시 서구 탄방동 638 시티빌 3차 ,"대전광역시 서구 문정로2번길 51, 1층 101-1호 (탄방동, 시티빌 3차)",탄방동,,2024-10-25
141,제과점영업,뚜레쥬르 월평선사점,대전광역시 서구 월평동 282-3 ,"대전광역시 서구 청사로 128, 1층 일부호 (월평동)",월평2동,,2024-10-25
142,제과점영업,손수베이커리(주),대전광역시 서구 관저동 1394 느리울마을아파트13단지 ,"대전광역시 서구 관저동로 42, 주상가동 1층 105호 (관저동, 느리울마을아파트13단지)",관저2동,,2024-10-25
143,제과점영업,빵굽는사람들,대전광역시 서구 괴정동 91-5 삼천상가 ,"대전광역시 서구 갈마로 259, 삼천상가 B동 1층 5호 (괴정동)",괴정동,,2024-10-25
144,제과점영업,브레댄코 대전관저점,대전광역시 서구 관저동 1546 ,"대전광역시 서구 구봉로 121, 하나로프라자 1층 109~110호 (관저동)",관저2동,042 -542 -9045,2024-10-25
145,제과점영업,카페제빵공작소,대전광역시 서구 도안동 1412 ,"대전광역시 서구 도안중로305번안길 1, 1층 일부호 (도안동)",도안동,042 -632 -7901,2024-10-25
146,제과점영업,쿠케이크(Coo cake),대전광역시 서구 관저동 1867 ,"대전광역시 서구 관저북로51번길 23-7, 1층 (관저동)",관저1동,,2024-10-25
147,제과점영업,뮤리엘베이크샵(murielle bake shop),대전광역시 서구 괴정동 81-16 ,"대전광역시 서구 괴정로116번길 5, 1층 일부호 (괴정동)",괴정동,,2024-10-25
148,제과점영업,지영케이크,대전광역시 서구 도마동 35-28 ,"대전광역시 서구 도마로 37, 1층 일부호 (도마동)",도마1동,,2024-10-25
149,제과점영업,연이가,대전광역시 서구 둔산동 1924 ,"대전광역시 서구 둔산남로175번길 10, 1층 일부호 (둔산동)",둔산2동,,2024-10-25
150,제과점영업,미미제과점,대전광역시 서구 둔산동 969 ,"대전광역시 서구 둔지로 64, 2층 일부호 (둔산동)",둔산2동,042 -488 -9694,2024-10-25
151,제과점영업,주식회사 몽심도안,대전광역시 서구 도안동 998 ,"대전광역시 서구 원도안로241번길 24-13, 지하1층 (도안동)",도안동,,2024-10-25
152,제과점영업,미미제과점,대전광역시 서구 갈마동 859 ,"대전광역시 서구 갈마역로25번길 17-7, 1층 일부호 (갈마동)",갈마1동,042 -320 -5126,2024-10-25
153,제과점영업,노티드 대전갤러리아,대전광역시 서구 둔산동 1034 ,"대전광역시 서구 대덕대로 219, 갤러리아타임월드백화점 EAST 1층 일부호 (둔산동)",둔산2동,,2024-10-25
154,제과점영업,젤리포에,대전광역시 서구 갈마동 273-21 ,"대전광역시 서구 계룡로 399-1, 1층 일부호 (갈마동)",갈마1동,,2024-10-25
155,제과점영업,하르당 용문역점,대전광역시 서구 용문동 589-8 ,"대전광역시 서구 계룡로 626, 1층 일부호 (용문동)",용문동,,2024-10-25
